pid,fnm,lnm,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,ta2t,ta2x,ta2y,ta2z,at1t,at1x,at1y,at1z,at2t,at2x,at2y,at2z,lr1t,lr1x,lr1y,lr1z,lr2t,lr2x,lr2y,lr2z,rl1t,rl1x,rl1y,rl1z,rl2t,rl2x,rl2y,rl2z,pl,spl,plr
202704,Reggie,Jackson,75,514,-0.434929171259433,0.233626595012516,2.92202093324908,0.287,-0.0226209850588245,-0.045452619324688,7.11219154426778,14.227359465586,-5.05161112746216,0.618181952709309,13.2859637758518,9.77368486305873,0.229,-0.0105325067125148,-0.011219118926743,6.45866858817319,19.306448635497,0.113,-0.621646478916819,0.27752450489942,4.7770027792691,0.071,-0.741314920004158,0.352814148588256,4.00188529127254,NA,NA,NA,NA,0.259,0.0570510962368904,-0.0456256291566531,6.76492968573463,NA,NA,NA,NA,0.273,0.0363560528790877,-0.0500526070793543,6.92942226557215,NA,NA,NA,NA,0.067,-0.739598427561922,0.353542058886821,3.93588484696938,NA,NA,NA,NA,4.4245005343458,4.21964607493661,1.04854778239008
201156,Nick,Young,NA,513,-0.623460374016017,-0.234657313870817,2.91940938336191,0.394,-0.014774042770051,-0.0143431975674247,8.42755177910443,14.6527053308024,-7.57488605591438,1.09761745414619,12.4947233132868,8.91472658361536,0.316,0.3403502212258,-0.0939319833161812,7.60624418660705,21.986705486678,0.119,-0.825198220799119,0.201861786515748,4.89882930486614,0.072,-1.02425101918699,0.149588873896405,3.93564731793079,NA,NA,NA,NA,0.298,0.35329943362815,-0.104176032895807,7.44409824305593,NA,NA,NA,NA,0.289,0.34982442579806,-0.105570525517206,7.35977507853414,NA,NA,NA,NA,0.113,-0.867577943135964,0.202705848792042,4.76699890754757,NA,NA,NA,NA,6.09579873355987,5.54604994671563,1.0991243844044
101107,Marvin,Williams,80,511,-0.131261342511118,0.192359391395252,3.45736930749661,0.381,-0.0110173753188066,-0.01838282584899,8.47546312080314,13.2584562070461,-6.95008567584692,-0.124811918258492,11.2901457952326,7.96292258616659,0.309,0.308348729516272,-0.0154218922748004,7.79091717259653,20.6287974135222,0.11,-0.315399277630329,0.416520144617371,5.23485810766351,0.0660000000000001,-0.437891917402668,0.460276186838671,4.388452817131,NA,NA,NA,NA,0.274,0.339970633908752,-0.00295554571447779,7.49880912858429,NA,NA,NA,NA,0.313,0.300242337162117,-0.0155050553098116,7.8228056855496,NA,NA,NA,NA,0.075,-0.431706012013402,0.46476570365351,4.54367163602827,0.27,0.339567695726766,4.32218081528407e-4,7.46167577586753,5.35329193977176,5.0239562510954,1.06555305663829
202710,Jimmy,Butler,79,510,0.27096170862106,0.427228964648892,3.31916118321433,0.459,-0.137849027187194,0.0136219125531538,9.24058171318937,11.5977644156822,-6.26854091424419,-0.59019214620222,9.73987717985557,11.8993840375792,0.128,-0.101910058965753,0.469072124820812,4.72356380658362,17.1364139636951,0.232,0.136284781134866,0.34347933771498,6.32438117591473,0.132,-0.102640708212175,0.467994123107145,4.7719301038358,NA,NA,NA,NA,0.316,0.32128307974414,0.184927180269496,7.66673834027534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,-0.0791694169022721,0.471576162054998,4.44746876375631,NA,NA,NA,NA,6.12626955652374,5.94990908368063,1.02964086851795
201163,Wilson,Chandler,80,509,0.117176341521978,0.0538419851671742,3.05500172788005,0.473,-0.00632665362068541,-0.0250880436018411,8.97534028699529,13.4056870275402,-9.06587816709147,0.203785939587538,9.87323498305591,6.68033352059538,0.398,0.512406914755022,-0.0686059551992262,8.37423786888426,21.1527852720952,0.123,-0.279635441695608,0.347622061017161,4.61545874399471,0.103,-0.296588593019825,0.325205756813497,4.19783726533254,NA,NA,NA,NA,0.325,0.689731828244453,-0.0697900529203634,7.82458222474966,NA,NA,NA,NA,0.362,0.643609869202171,-0.0859810032499337,8.12172645522993,NA,NA,NA,NA,0.134,-0.255435702969304,0.351366786404203,4.84718216667251,NA,NA,NA,NA,6.55431563976487,5.9221526148688,1.10674548023448
1713,Vince,Carter,78,504,-0.190470812391637,0.343256930977657,2.89093461733533,0.472,-0.0347893221458592,0.00379193819394992,8.84501538382291,15.2574201215385,-8.83136559974298,0.750057951699496,12.4190685430872,7.24173203123967,0.314,0.596482401052464,-0.0487909468386326,7.38224581421151,21.8431115340412,0.112,-0.558808130674694,0.431713902943775,4.37319723757008,0.111,-0.558854992092404,0.431627809935912,4.35135412603604,NA,NA,NA,NA,0.337,0.617062050565593,-0.0748300179067399,7.55469069263521,NA,NA,NA,NA,0.36,0.595601050391556,-0.0846775796066803,7.75566755057877,NA,NA,NA,NA,0.115,-0.558194814626856,0.431811360011434,4.43868881184479,NA,NA,NA,NA,6.55485566228073,5.96578167397937,1.0987421297817
201588,George,Hill,75,504,0.240120596934041,0.323333673905573,2.89747317826229,0.388,-0.0147748760836184,-0.0126338028026806,7.24220306986817,14.278107337351,-7.27610728420263,-0.406430557933303,12.2783315693651,9.01973576365655,0.31,0.300126505881864,0.0509970690719044,6.42432720893324,16.3075069272747,0.125,-0.144687344725387,0.562835220954871,4.09962643108384,0.125,-0.144687344725387,0.562835220954871,4.09962643108384,NA,NA,NA,NA,0.294,0.306106147292551,0.0750253285117341,6.27893976090573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101,-0.132110604607441,0.573222774793326,3.71576046954723,NA,NA,NA,NA,4.74509563121574,4.36514875789867,1.08704099090084
203496,Robert,Covington,79,503,-0.370537749968028,0.320673741587138,3.45088010467301,0.387,-0.00385471640732155,-0.00465070081838314,8.59300902022267,15.2983842126793,-7.2249747299593,0.71396364477343,13.4659034447804,9.81961369383288,0.24,0.245526820888947,-0.0467437616544583,6.94861261121002,19.5383853130053,0.116,-0.533272439162447,0.309480329081677,5.20538093275074,0.0700000000000001,-0.675685124498054,0.404575671449749,4.36571369262758,NA,NA,NA,NA,0.287,0.35902113990006,-0.0920336096831097,7.43228082432904,NA,NA,NA,NA,0.283,0.358411557658909,-0.0923128415427771,7.3901687584247,NA,NA,NA,NA,0.0630000000000001,-0.671590818621459,0.406289395880995,4.25861418725754,NA,NA,NA,NA,5.53367762913443,5.16544114515495,1.07128848701042
201229,Anthony,Tolliver,80,500,1.86487543080041,-1.59481430567622,4.20589863642122,0.366,-0.0509258880985347,-0.0213118528406012,8.90684140010551,12.7879462617663,-7.47659868722211,0.151443882194603,10.3734809208191,6.14772821704967,0.294,0.258672568215809,0.0270200450126936,8.32726754343964,21.0731823250354,0.088,1.26560084519758,-0.968988892383192,5.93463755392036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347,0.0798093130375561,-0.0231875965074787,8.71616123897787,NA,NA,NA,NA,0.255,0.318469296438744,0.0582901576610871,8.06524314892307,NA,NA,NA,NA,5.45737317325941,5.31460887836635,1.02686261551141
201976,Patrick,Beverley,73,500,-0.527429881443828,0.078205516628972,3.05654124151744,0.377,-0.0105936102051275,-0.0197994174913407,7.76809841025075,12.4838244822511,-7.02638728869811,0.4688350975992,10.3080526300623,10.0601054848779,0.344,0.177418582990799,-0.0321170116430939,7.43327589985522,18.4513860764159,0.116,-0.572990300410252,0.128133622725754,4.40771614081958,0.0570000000000001,-0.710383949129477,0.143097930302088,3.47507526774589,NA,NA,NA,NA,0.286,0.301939067221659,-0.0355540877682912,6.83509434500159,NA,NA,NA,NA,0.307,0.285648208898658,-0.0372710282270003,7.05727528314009,NA,NA,NA,NA,0.071,-0.701107394985594,0.145439496707881,3.64606632757009,NA,NA,NA,NA,5.03495205001156,4.74083280158899,1.06203957421236
